filepath,filename,modality,vocalchannel,emotion_id,emotion,intensity,statement,repetition,actor,gender,ok,sr,duration,channels,subtype,error
../data/Actor_01/03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01,3,speech,1,neutral,normal,kidsdoor,1,1,male,True,48000,3.3032916666666665,1,PCM_16,
../data/Actor_01/03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01,3,speech,1,neutral,normal,kidsdoor,2,1,male,True,48000,3.3366666666666664,1,PCM_16,
../data/Actor_01/03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01,3,speech,1,neutral,normal,dogsdoor,1,1,male,True,48000,3.2699166666666666,1,PCM_16,
../data/Actor_01/03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01,3,speech,1,neutral,normal,dogsdoor,2,1,male,True,48000,3.1698333333333335,1,PCM_16,
../data/Actor_01/03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01,3,speech,2,calm,normal,kidsdoor,1,1,male,True,48000,3.5368541666666666,1,PCM_16,
../data/Actor_01/03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01,3,speech,2,calm,normal,kidsdoor,2,1,male,True,48000,3.6035833333333334,2,PCM_16,
../data/Actor_01/03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01,3,speech,2,calm,normal,dogsdoor,1,1,male,True,48000,3.5035,1,PCM_16,
../data/Actor_01/03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01,3,speech,2,calm,normal,dogsdoor,2,1,male,True,48000,3.4701458333333335,1,PCM_16,
../data/Actor_01/03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01,3,speech,2,calm,strong,kidsdoor,1,1,male,True,48000,3.703708333333333,1,PCM_16,
../data/Actor_01/03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01,3,speech,2,calm,strong,kidsdoor,2,1,male,True,48000,4.004,1,PCM_16,
../data/Actor_01/03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01,3,speech,2,calm,strong,dogsdoor,1,1,male,True,48000,4.204208333333334,1,PCM_16,
../data/Actor_01/03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01,3,speech,2,calm,strong,dogsdoor,2,1,male,True,48000,4.004,1,PCM_16,
../data/Actor_01/03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01,3,speech,3,happy,normal,kidsdoor,1,1,male,True,48000,3.4701458333333335,1,PCM_16,
../data/Actor_01/03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01,3,speech,3,happy,normal,kidsdoor,2,1,male,True,48000,3.470125,1,PCM_16,
../data/Actor_01/03-01-03-01-02-01-01.wav,03-01-03-01-02-01-01,3,speech,3,happy,normal,dogsdoor,1,1,male,True,48000,3.5368541666666666,1,PCM_16,
../data/Actor_01/03-01-03-01-02-02-01.wav,03-01-03-01-02-02-01,3,speech,3,happy,normal,dogsdoor,2,1,male,True,48000,3.703708333333333,1,PCM_16,
../data/Actor_01/03-01-03-02-01-01-01.wav,03-01-03-02-01-01-01,3,speech,3,happy,strong,kidsdoor,1,1,male,True,48000,3.6703333333333332,1,PCM_16,
../data/Actor_01/03-01-03-02-01-02-01.wav,03-01-03-02-01-02-01,3,speech,3,happy,strong,kidsdoor,2,1,male,True,48000,3.6369583333333333,1,PCM_16,
../data/Actor_01/03-01-03-02-02-01-01.wav,03-01-03-02-02-01-01,3,speech,3,happy,strong,dogsdoor,1,1,male,True,48000,3.93725,1,PCM_16,
../data/Actor_01/03-01-03-02-02-02-01.wav,03-01-03-02-02-02-01,3,speech,3,happy,strong,dogsdoor,2,1,male,True,48000,3.9372708333333333,1,PCM_16,
../data/Actor_01/03-01-04-01-01-01-01.wav,03-01-04-01-01-01-01,3,speech,4,sad,normal,kidsdoor,1,1,male,True,48000,3.8371666666666666,1,PCM_16,
../data/Actor_01/03-01-04-01-01-02-01.wav,03-01-04-01-01-02-01,3,speech,4,sad,normal,kidsdoor,2,1,male,True,48000,3.5702291666666666,1,PCM_16,
../data/Actor_01/03-01-04-01-02-01-01.wav,03-01-04-01-02-01-01,3,speech,4,sad,normal,dogsdoor,1,1,male,True,48000,3.5035,1,PCM_16,
../data/Actor_01/03-01-04-01-02-02-01.wav,03-01-04-01-02-02-01,3,speech,4,sad,normal,dogsdoor,2,1,male,True,48000,3.370041666666667,1,PCM_16,
../data/Actor_01/03-01-04-02-01-01-01.wav,03-01-04-02-01-01-01,3,speech,4,sad,strong,kidsdoor,1,1,male,True,48000,3.8037916666666667,1,PCM_16,
../data/Actor_01/03-01-04-02-01-02-01.wav,03-01-04-02-01-02-01,3,speech,4,sad,strong,kidsdoor,2,1,male,True,48000,3.703708333333333,1,PCM_16,
../data/Actor_01/03-01-04-02-02-01-01.wav,03-01-04-02-02-01-01,3,speech,4,sad,strong,dogsdoor,1,1,male,True,48000,3.7370833333333335,1,PCM_16,
../data/Actor_01/03-01-04-02-02-02-01.wav,03-01-04-02-02-02-01,3,speech,4,sad,strong,dogsdoor,2,1,male,True,48000,3.7370625,1,PCM_16,
../data/Actor_01/03-01-05-01-01-01-01.wav,03-01-05-01-01-01-01,3,speech,5,angry,normal,kidsdoor,1,1,male,True,48000,3.8705416666666665,1,PCM_16,
../data/Actor_01/03-01-05-01-01-02-01.wav,03-01-05-01-01-02-01,3,speech,5,angry,normal,kidsdoor,2,1,male,True,48000,3.9372708333333333,1,PCM_16,
../data/Actor_01/03-01-05-01-02-01-01.wav,03-01-05-01-02-01-01,3,speech,5,angry,normal,dogsdoor,1,1,male,True,48000,3.5035,1,PCM_16,
../data/Actor_01/03-01-05-01-02-02-01.wav,03-01-05-01-02-02-01,3,speech,5,angry,normal,dogsdoor,2,1,male,True,48000,3.7370625,1,PCM_16,
../data/Actor_01/03-01-05-02-01-01-01.wav,03-01-05-02-01-01-01,3,speech,5,angry,strong,kidsdoor,1,1,male,True,48000,4.104104166666667,1,PCM_16,
../data/Actor_01/03-01-05-02-01-02-01.wav,03-01-05-02-01-02-01,3,speech,5,angry,strong,kidsdoor,2,1,male,True,48000,4.371041666666667,1,PCM_16,
../data/Actor_01/03-01-05-02-02-01-01.wav,03-01-05-02-02-01-01,3,speech,5,angry,strong,dogsdoor,1,1,male,True,48000,4.137458333333333,1,PCM_16,
../data/Actor_01/03-01-05-02-02-02-01.wav,03-01-05-02-02-02-01,3,speech,5,angry,strong,dogsdoor,2,1,male,True,48000,4.437770833333333,1,PCM_16,
../data/Actor_01/03-01-06-01-01-01-01.wav,03-01-06-01-01-01-01,3,speech,6,fearful,normal,kidsdoor,1,1,male,True,48000,3.6703333333333332,1,PCM_16,
../data/Actor_01/03-01-06-01-01-02-01.wav,03-01-06-01-01-02-01,3,speech,6,fearful,normal,kidsdoor,2,1,male,True,48000,3.636979166666667,1,PCM_16,
../data/Actor_01/03-01-06-01-02-01-01.wav,03-01-06-01-02-01-01,3,speech,6,fearful,normal,dogsdoor,1,1,male,True,48000,3.4367708333333336,1,PCM_16,
../data/Actor_01/03-01-06-01-02-02-01.wav,03-01-06-01-02-02-01,3,speech,6,fearful,normal,dogsdoor,2,1,male,True,48000,3.7036875,1,PCM_16,
../data/Actor_01/03-01-06-02-01-01-01.wav,03-01-06-02-01-01-01,3,speech,6,fearful,strong,kidsdoor,1,1,male,True,48000,5.005,1,PCM_16,
../data/Actor_01/03-01-06-02-01-02-01.wav,03-01-06-02-01-02-01,3,speech,6,fearful,strong,kidsdoor,2,1,male,True,48000,4.2375625,1,PCM_16,
../data/Actor_01/03-01-06-02-02-01-01.wav,03-01-06-02-02-01-01,3,speech,6,fearful,strong,dogsdoor,1,1,male,True,48000,3.970625,1,PCM_16,
../data/Actor_01/03-01-06-02-02-02-01.wav,03-01-06-02-02-02-01,3,speech,6,fearful,strong,dogsdoor,2,1,male,True,48000,3.9039166666666665,1,PCM_16,
../data/Actor_01/03-01-07-01-01-01-01.wav,03-01-07-01-01-01-01,3,speech,7,disgust,normal,kidsdoor,1,1,male,True,48000,3.8705208333333334,1,PCM_16,
