RecordNumber	Zipcode	ZipCodeType	City	State	LocationType	Lat	Long	Xaxis	Yaxis	Zaxis	WorldRegion	Country	LocationText	Location	Decommisioned	TaxReturnsFiled	EstimatedPopulation	TotalWages	Notes
1	704	STANDARD	PARC PARQUE	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Parc Parque, PR"	NA-US-PR-PARC PARQUE	FALSE				
2	704	STANDARD	PASEO COSTA DEL SUR	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Paseo Costa Del Sur, PR"	NA-US-PR-PASEO COSTA DEL SUR	FALSE				
3	704	STANDARD	SECT LANAUSSE	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Sect Lanausse, PR"	NA-US-PR-SECT LANAUSSE	FALSE				
4	704	STANDARD	URB EUGENE RICE	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Urb Eugene Rice, PR"	NA-US-PR-URB EUGENE RICE	FALSE				
5	704	STANDARD	URB GONZALEZ	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Urb Gonzalez, PR"	NA-US-PR-URB GONZALEZ	FALSE				
6	704	STANDARD	URB LA FABRICA	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Urb La Fabrica, PR"	NA-US-PR-URB LA FABRICA	FALSE				
7	704	STANDARD	URB MONTE SORIA 2	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Urb Monte Soria 2, PR"	NA-US-PR-URB MONTE SORIA 2	FALSE				
8	704	STANDARD	VILLAS DEL COQUI	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Villas Del Coqui, PR"	NA-US-PR-VILLAS DEL COQUI	FALSE				
9	705	STANDARD	AIBONITO	PR	PRIMARY	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Aibonito, PR"	NA-US-PR-AIBONITO	FALSE				
10	705	STANDARD	BDA SAN LUIS	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Bda San Luis, PR"	NA-US-PR-BDA SAN LUIS	FALSE				
11	705	STANDARD	BO LLANOS	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Bo Llanos, PR"	NA-US-PR-BO LLANOS	FALSE				
12	705	STANDARD	BRISAS DE AIBONITO	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Brisas De Aibonito, PR"	NA-US-PR-BRISAS DE AIBONITO	FALSE				
